fips,ir_wfrto,ir_recww,cluster_model2,color
21077,0.02,0.0,27,red
21079,0.09,0.0,27,red
21081,0.02,0.0,27,red
21083,2.0,0.0,27,red
21085,0.03,0.0,27,red
21087,0.03,0.0,27,red
21089,0.16,0.0,27,red
21091,0.25,0.0,27,red
21093,0.33,0.0,27,red
21095,0.05,0.0,27,red
21097,0.89,0.0,27,red
21105,2.73,0.0,27,red
21103,0.35,0.0,27,red
21101,2.67,0.0,27,red
21099,0.08,0.0,27,red
21125,0.03,0.0,27,red
21053,0.15,0.0,27,red
26143,0.26,0.0,27,red
26145,1.78,0.0,27,red
26149,49.03,0.0,43,red
26155,0.22,0.0,27,red
26161,2.82,0.0,0,red
28005,0.07,0.0,27,red
28007,0.35,0.0,27,red
28009,0.85,0.0,27,red
28001,0.04,0.0,27,red
28161,1.18,0.0,27,red
28159,0.05,0.0,27,red
28157,0.45,0.0,27,red
28155,0.63,0.0,27,red
28153,0.5,0.0,27,red
28151,241.38,0.0,49,red
28149,4.57,0.0,27,red
28147,0.06,0.0,27,red
28145,0.06,0.0,27,red
28143,95.93,0.0,21,red
28141,0.64,0.0,27,red
28139,0.23,0.0,27,red
28137,5.52,0.0,27,red
28135,97.03,0.0,21,red
28133,255.23,0.0,49,red
28131,0.11,0.0,27,red
28129,0.12,0.0,27,red
28127,1.08,0.0,27,red
28125,68.85,0.0,43,red
28123,0.06,0.0,27,red
28121,0.04,0.0,27,red
28119,79.15,0.0,43,red
28117,0.01,0.0,27,red
28115,1.78,0.0,27,red
28111,0.43,0.0,27,red
28107,18.13,0.0,27,red
28105,0.28,0.0,27,red
28103,16.06,0.0,27,red
28101,0.59,0.0,27,red
28099,0.02,0.0,27,red
28097,0.63,0.0,27,red
28095,0.47,0.0,27,red
28093,3.24,0.0,27,red
28091,0.16,0.0,27,red
19045,0.03,0.0,27,red
19047,0.06,0.0,27,red
19049,0.19,0.0,27,red
19051,0.0,0.0,27,red
19053,0.0,0.0,27,red
19197,0.0,0.0,27,red
19191,0.14,0.0,27,red
19193,0.33,0.0,27,red
19195,0.12,0.0,27,red
19105,0.03,0.0,27,red
19187,0.04,0.0,27,red
19189,0.05,0.0,27,red
17077,0.33,0.0,27,red
17081,0.12,0.0,27,red
17083,0.12,0.0,27,red
17085,0.56,0.0,0,red
17087,0.12,0.0,27,red
17089,1.34,0.48,38,red
17091,5.93,0.0,0,red
17093,0.24,0.17,27,red
17075,0.85,0.0,27,red
17099,1.96,0.0,0,red
17101,12.24,0.0,27,red
17073,2.93,0.0,0,red
17105,0.12,0.0,27,red
17107,0.5,0.0,27,red
17109,0.14,0.0,27,red
17111,3.27,0.77,15,red
17113,0.54,0.0,0,red
17115,0.29,0.0,0,red
17117,0.14,0.0,27,red
17119,0.74,0.0,0,red
17121,0.15,0.0,27,red
17123,0.23,0.0,27,red
17125,66.99,0.0,43,red
17127,3.1,0.0,27,red
46069,0.1,0.0,27,red
46067,2.0,0.0,27,red
46065,17.2,0.0,27,red
46063,0.71,0.0,27,red
46061,0.38,0.0,27,red
46059,0.36,0.0,27,red
46057,4.29,0.0,27,red
46055,0.14,0.0,27,red
46053,0.73,0.0,27,red
46051,3.36,0.0,27,red
46049,0.11,0.0,27,red
46045,0.34,0.0,27,red
46043,1.55,0.0,27,red
46041,0.23,0.0,27,red
46039,0.59,0.0,27,red
46037,0.57,0.0,27,red
46035,0.51,0.0,27,red
46031,0.27,0.0,27,red
46029,3.97,0.0,27,red
46027,8.85,0.0,27,red
46025,2.46,0.0,27,red
46023,6.93,0.0,27,red
46021,5.19,0.0,27,red
46017,8.37,0.0,27,red
46015,2.38,0.0,27,red
46013,2.77,0.0,27,red
46011,6.65,0.0,27,red
46009,6.8,0.0,27,red
46007,8.6,0.0,27,red
46005,8.39,0.0,27,red
46003,0.02,0.0,27,red
46095,0.75,0.0,27,red
46019,4.54,0.0,27,red
46075,0.0,0.0,27,red
46125,15.6,0.0,27,red
46127,6.14,0.0,27,red
8009,125.24,0.0,11,red
8011,167.81,0.0,31,red
8017,29.35,0.0,43,red
8025,11.87,0.0,27,red
8063,110.88,0.0,11,red
8075,143.12,0.0,11,red
8087,122.61,0.0,11,red
8089,349.07,0.0,8,orange
8095,73.62,0.0,11,red
8099,110.39,0.11,11,red
8111,0.0,0.0,27,red
8115,73.59,0.0,11,red
8121,46.18,0.0,43,red
8125,323.08,0.0,8,orange
20067,95.09,0.01,11,red
20201,4.2,0.0,27,red
20203,36.54,0.0,43,red
20205,0.52,0.0,27,red
20207,0.06,0.0,27,red
20197,1.55,0.0,27,red
