fips,to_wtotl,ps_wtotl,cluster_model3,color
33009,13.64,7.57,31,red
54041,1.74,1.08,4,red
54033,20.87,7.91,31,red
54017,2.97,0.22,4,red
13317,2.22,1.01,4,red
13315,18.39,0.44,4,red
13313,25.61,23.96,39,red
13311,2.84,1.47,4,red
13309,2.57,0.18,4,red
13307,4.63,0.1,4,red
13305,62.13,1.5,21,red
13303,17.52,2.0,4,red
13301,1.07,0.32,4,red
13299,5.42,2.74,4,red
13295,8.26,6.62,31,red
13291,2.12,1.82,4,red
13289,5.54,0.45,4,red
13287,12.63,0.79,4,red
13285,10.31,8.54,31,red
13283,2.38,0.3,4,red
13281,1.99,1.54,4,red
13279,12.31,2.84,4,red
13277,18.37,4.78,4,red
13275,11.69,5.64,4,red
13273,16.58,1.44,4,red
13271,4.28,1.22,4,red
13267,11.6,1.22,4,red
13265,0.13,0.05,4,red
13263,1.83,1.33,4,red
13261,26.11,2.48,4,red
13259,1.56,0.78,4,red
13257,4.27,3.38,4,red
13255,7.42,6.83,31,red
13251,16.01,0.74,4,red
13249,0.74,0.45,4,red
13247,13.37,11.76,31,red
13245,108.56,39.17,17,red
13243,19.08,0.88,4,red
13241,3.05,1.6,4,red
13237,186.02,3.76,42,red
13235,12.3,1.09,4,red
13233,7.85,5.6,4,red
13231,5.41,2.97,4,red
13229,5.46,0.57,4,red
13227,4.89,2.77,4,red
13225,7.57,2.31,4,red
13223,3.1,0.1,4,red
13221,4.28,0.26,4,red
13219,5.04,0.35,4,red
13217,15.76,13.73,31,red
13215,43.36,36.77,39,red
13091,9.33,1.39,4,red
13093,16.64,2.28,4,red
13095,52.86,11.57,31,red
13097,18.21,17.52,31,red
13099,127.84,1.21,21,red
13101,1.87,0.05,4,red
13105,3.92,1.59,4,red
13107,5.29,1.59,4,red
13111,45.99,1.75,4,red
13113,11.72,9.46,31,red
13115,258.36,11.8,42,red
13117,27.96,20.61,39,red
13119,4.65,1.95,4,red
13123,7.23,2.5,4,red
13125,0.32,0.07,4,red
13129,13.19,10.43,31,red
13131,8.74,1.73,4,red
13133,3.44,1.23,4,red
13135,2.23,0.64,33,red
13137,7.07,5.66,4,red
13139,91.07,88.18,17,red
13141,1.95,1.2,4,red
13143,3.27,2.53,4,red
13145,6.94,6.26,4,red
13147,4.34,1.46,4,red
13149,16.12,1.22,4,red
13151,38.05,34.13,11,red
13153,33.75,23.75,39,red
13155,16.85,0.44,4,red
13157,12.21,9.52,31,red
13063,11.39,10.76,0,red
13163,25.57,1.32,4,red
18163,20.13,17.4,39,red
18161,0.75,0.35,4,red
18159,1.9,0.91,4,red
18157,29.37,12.84,31,red
18155,1.96,1.04,4,red
18153,432.11,1.36,13,red
18151,4.76,1.36,4,red
18149,6.5,0.61,4,red
18147,28.3,1.97,4,red
18145,10.38,5.66,4,red
18143,4.36,3.33,4,red
18141,42.79,21.76,39,red
18139,2.62,0.99,4,red
18175,3.78,2.44,4,red
18135,6.86,2.18,4,red
18133,8.12,4.03,4,red
18131,10.08,0.38,4,red
18129,18.74,1.0,4,red
18127,749.33,15.84,12,purple
18125,375.9,1.01,13,red
18123,2.48,0.33,4,red
18121,2.62,0.93,4,red
18119,2.51,1.4,4,red
18117,1.29,0.0,4,red
18115,1.07,0.74,4,red
18113,9.04,2.3,4,red
18111,4.24,0.56,4,red
18109,57.58,10.52,31,red
18107,6.16,3.61,4,red
18105,17.85,15.78,31,red
18103,8.56,2.66,4,red
18101,1.17,0.63,4,red
19163,96.29,17.82,39,red
19161,6.5,1.14,4,red
19159,1.43,0.0,4,red
19157,2.96,1.33,4,red
19155,439.43,15.02,13,red
19153,58.87,56.09,11,red
19151,2.23,0.48,4,red
19149,10.4,3.34,4,red
19147,5.77,0.78,4,red
19145,3.04,1.78,4,red
19143,9.05,4.3,4,red
19141,7.39,2.31,4,red
19139,173.82,28.94,42,red
19137,1.96,1.45,4,red
19135,3.05,0.0,4,red
19133,12.06,0.82,4,red
19131,7.21,0.75,4,red
19129,2.24,0.87,4,red
19127,10.1,5.01,4,red
19125,4.3,2.91,4,red
19123,4.91,2.58,4,red
19121,1.31,0.36,4,red
19119,9.4,2.41,4,red
19117,1.25,0.47,4,red
19115,13.36,0.49,4,red
19113,174.45,41.89,17,red
19111,29.07,12.38,31,red
19109,6.49,1.25,4,red
19107,3.55,1.24,4,red
19103,39.68,10.04,31,red
19101,2.37,1.6,4,red
19097,3.44,1.1,4,red
51137,4.05,2.08,4,red
51157,0.83,0.03,4,red
51165,36.92,14.75,31,red
51171,21.14,2.57,4,red
51187,11.79,9.08,31,red
51003,17.54,13.29,31,red
51177,15.08,11.05,31,red
51015,16.12,7.5,31,red
51069,9.62,5.27,4,red
51079,1.54,0.63,4,red
51047,5.32,2.33,4,red
51043,1.53,0.5,4,red
51113,1.32,0.0,4,red
51139,3.19,1.27,4,red
54065,5.38,0.55,4,red
54037,6.77,2.7,4,red
54031,6.51,3.01,4,red
54003,16.63,5.97,31,red
24013,15.94,7.05,31,red
24027,6.17,0.01,0,red
51107,11.57,6.86,0,red
51091,6.96,0.1,4,red
54071,2.5,0.31,4,red
51061,6.72,3.1,4,red
24001,38.75,0.67,4,red
54057,2.61,1.57,4,red
54023,1125.39,0.97,46,purple
51660,0.36,0.0,4,red
51820,2.47,2.38,4,red
51840,0.0,0.0,4,red
51790,0.16,0.0,4,red
13213,3.16,1.89,4,red
13211,4.86,1.34,4,red
13209,1.76,0.18,4,red
13207,47.85,1.58,4,red
13205,71.22,3.77,21,red
13201,36.19,0.26,4,red
