year,FIPS,normal_wet,abnormally_dry,moderate_drought,severe_drought,extreme_drought,exceptional_drought
2000,13167,0.0,100.0,100.0,62.7,30.37,10.42
2000,13169,0.0,100.0,100.0,79.25,38.46,16.5
2000,13171,0.0,100.0,100.0,88.22,44.22,21.05
2000,13173,7.69,92.31,83.92,59.33,7.62,2.4
2000,13175,0.0,100.0,100.0,74.34,28.54,10.1
2000,13177,0.0,100.0,100.0,97.84,35.37,8.16
2000,13179,6.94,93.06,66.72,36.13,5.84,0.0
2000,13181,0.0,100.0,100.0,59.62,36.75,14.03
2000,13183,4.46,95.54,70.68,40.02,7.72,0.0
2000,13185,4.31,95.69,85.86,60.83,10.53,3.84
2000,13187,0.0,100.0,100.0,51.48,17.25,0.0
2000,13189,0.0,100.0,100.0,59.72,33.35,13.21
2000,13191,20.46,79.54,53.96,33.36,1.92,0.0
2000,13193,0.0,100.0,100.0,89.55,43.85,11.54
2000,13195,0.0,100.0,100.0,62.98,33.72,7.28
2000,13197,0.0,100.0,100.0,93.41,47.35,16.51
2000,13199,0.0,100.0,100.0,91.8,48.57,21.47
2000,13201,0.0,100.0,100.0,89.83,33.32,11.12
2000,13205,0.0,100.0,100.0,89.18,23.08,6.83
2000,13207,0.0,100.0,100.0,87.32,40.65,18.85
2000,13209,0.0,100.0,99.99,66.49,15.57,7.69
2000,13211,0.0,100.0,100.0,73.39,34.62,17.4
2000,13213,0.0,100.0,99.67,42.59,9.56,0.0
2000,13215,0.0,100.0,100.0,92.31,52.39,22.48
2000,13217,0.0,100.0,100.0,77.1,34.64,18.75
2000,13219,0.0,100.0,100.0,72.36,34.62,13.17
2000,13221,0.0,100.0,100.0,65.73,34.62,13.95
2000,13223,0.0,100.0,100.0,84.62,37.69,3.75
2000,13225,0.0,100.0,100.0,88.46,42.96,11.54
2000,13227,0.0,100.0,100.0,53.34,16.85,0.0
2000,13229,9.69,90.31,65.49,53.42,6.34,0.0
2000,13231,0.0,100.0,100.0,88.46,49.89,21.15
2000,13233,0.0,100.0,100.0,76.56,40.96,2.12
2000,13235,0.0,100.0,100.0,89.71,37.55,9.51
2000,13237,0.0,100.0,100.0,75.04,36.39,21.72
2000,13239,0.0,100.0,100.0,99.63,46.15,19.8
2000,13241,0.0,100.0,97.17,43.19,17.79,0.57
2000,13243,0.0,100.0,100.0,100.0,44.93,12.47
2000,13245,0.0,100.0,99.96,55.43,32.45,3.19
2000,13247,0.0,100.0,100.0,79.1,34.74,14.58
2000,13249,0.0,100.0,100.0,95.42,45.1,11.54
2000,13251,0.0,100.0,98.92,43.12,15.11,0.0
2000,13253,0.0,100.0,100.0,77.3,34.9,11.54
2000,13255,0.0,100.0,100.0,88.02,44.1,21.15
2000,13257,0.0,100.0,99.99,63.42,21.46,1.92
2000,13259,0.0,100.0,100.0,99.57,46.5,18.96
2000,13261,0.0,100.0,100.0,99.94,42.7,10.25
2000,13263,0.0,100.0,100.0,90.98,53.1,21.24
2000,13265,0.0,100.0,100.0,67.38,36.26,17.32
2000,13267,0.0,100.0,93.78,49.31,12.75,0.43
2000,13269,0.0,100.0,100.0,88.59,45.49,12.78
2000,13271,0.0,100.0,96.98,77.97,19.78,7.69
2000,13273,0.0,100.0,100.0,99.65,42.72,9.76
2000,13275,0.0,100.0,97.41,87.33,21.57,6.76
2000,13277,0.0,100.0,90.57,82.65,19.23,5.77
2000,13279,0.0,100.0,99.1,58.74,15.38,6.33
2000,13281,0.0,100.0,97.83,36.54,13.51,0.0
2000,13283,0.0,100.0,100.0,60.6,19.48,9.03
2000,13285,0.0,100.0,100.0,92.31,46.15,19.38
2000,13287,0.0,100.0,97.04,86.91,23.05,6.54
2000,13289,0.0,100.0,100.0,84.52,39.25,11.54
2000,13291,0.0,100.0,99.09,37.22,11.85,0.0
2000,13293,0.0,100.0,100.0,88.46,49.73,20.69
2000,13295,0.16,99.84,92.74,60.74,15.24,0.0
2000,13297,0.0,100.0,100.0,73.08,34.56,12.73
2000,13299,10.86,89.14,67.26,53.46,5.13,0.0
