,STATE,COUNTYNAME,FIPS,LON,LAT
282,PA,Fayette,42051,-79.6474,39.9198
283,PA,Westmoreland,42129,-79.4668,40.3107
284,MA,Middlesex,25017,-71.3918,42.4855
285,CT,New Haven,9009,-72.9324,41.4108
286,CT,Litchfield,9005,-73.2453,41.7925
287,MA,Worcester,25027,-71.9077,42.3514
288,MA,Berkshire,25003,-73.2064,42.3706
289,MA,Franklin,25011,-72.5919,42.5831
290,MA,Hampshire,25015,-72.6638,42.3401
291,MA,Norfolk,25021,-71.2248,42.155
292,ME,Piscataquis,23021,-69.2835,45.838
293,ME,Somerset,23025,-69.9582,45.5138
294,ME,Aroostook,23003,-68.5988,46.6588
295,ME,Oxford,23017,-70.7555,44.499
296,ME,Penobscot,23019,-68.6494,45.4006
297,NH,Carroll,33003,-71.2028,43.8739
298,NH,Hillsborough,33011,-71.716,42.9153
299,NJ,Passaic,34031,-74.3003,41.0337
300,NY,Westchester,36119,-73.7553,41.1643
301,NY,Washington,36115,-73.4307,43.3137
302,NY,Warren,36113,-73.846,43.561
303,NY,Fulton,36035,-74.4222,43.1139
304,NY,Essex,36031,-73.7727,44.1172
305,NY,Clinton,36019,-73.6781,44.7462
306,NY,Franklin,36033,-74.3038,44.5929
307,NY,Cayuga,36011,-76.5543,42.9169
308,NY,Oneida,36065,-75.4359,43.2418
309,NY,Herkimer,36043,-74.9626,43.4196
310,NY,Schenectady,36093,-74.0585,42.8182
311,NY,Albany,36001,-73.9735,42.6002
312,NY,Greene,36039,-74.1227,42.2766
313,NY,Ulster,36111,-74.2585,41.8881
314,NY,Dutchess,36027,-73.7428,41.7652
315,NY,Columbia,36021,-73.6318,42.2501
316,NY,Rensselaer,36083,-73.5097,42.7111
317,NY,Saratoga,36091,-73.8639,43.1074
318,NY,St. Lawrence,36089,-75.0625,44.4921
319,PA,Centre,42027,-77.8196,40.919
320,PA,Lycoming,42081,-77.0645,41.3433
321,PA,Wayne,42127,-75.3033,41.6487
322,PA,Erie,42049,-80.0322,41.9917
323,PA,Clinton,42035,-77.6385,41.2341
324,RI,Providence,44007,-71.5811,41.8724
325,RI,Washington,44009,-71.6234,41.4687
326,VT,Chittenden,50007,-73.0809,44.4609
327,VT,Addison,50001,-73.1407,44.0306
328,VT,Rutland,50021,-73.0366,43.5801
329,VT,Windham,50025,-72.7138,42.9906
330,VT,Franklin,50011,-72.912,44.8574
331,MA,Essex,25009,-70.9581,42.6729
332,MA,Plymouth,25023,-70.8129,41.9547
333,MA,Hampden,25013,-72.6316,42.1351
