fips,ps_wtotl,do_psdel,state,cluster_model1,color
28135,1.31,1.13,MS,170,red
28133,3.01,2.47,MS,282,red
28131,1.46,0.92,MS,170,red
28129,1.18,1.03,MS,170,red
28127,3.6,2.68,MS,234,red
28125,0.52,0.43,MS,278,red
28123,8.02,2.79,MS,54,red
28121,17.66,13.81,MS,215,red
28119,0.74,0.73,MS,15,red
28117,3.28,2.5,MS,155,red
28115,3.45,2.77,MS,234,red
28111,1.23,0.96,MS,170,red
28107,3.35,2.73,MS,234,red
28105,7.58,4.14,MS,277,red
28103,1.37,1.0,MS,170,red
28101,2.47,1.88,MS,122,red
28099,4.47,2.32,MS,225,red
28097,1.3,1.01,MS,170,red
28095,3.63,3.5,MS,4,red
28093,2.53,1.27,MS,52,red
28091,3.62,2.19,MS,155,red
19045,3.87,2.6,IA,155,red
19047,2.96,0.93,IA,290,red
19049,1.47,4.94,IA,198,red
19051,0.0,0.21,IA,111,red
19053,0.55,0.46,IA,278,red
19197,1.24,0.65,IA,276,red
19191,1.33,0.77,IA,170,red
19193,13.97,6.13,IA,115,red
19195,0.45,0.35,IA,278,red
19105,0.89,0.84,IA,15,red
19187,11.01,2.11,IA,206,red
19189,0.89,0.5,IA,15,red
17077,5.96,4.34,IL,131,red
17081,0.0,2.68,IL,103,red
17083,1.08,1.69,IL,293,red
17085,2.03,1.18,IL,166,red
17087,0.86,0.63,IL,15,red
17089,61.75,38.11,IL,297,purple
17091,13.26,7.11,IL,192,red
17093,7.66,8.01,IL,167,red
17075,1.99,1.59,IL,166,red
17099,9.07,7.41,IL,185,red
17101,0.62,0.91,IL,217,red
17073,3.97,3.07,IL,4,red
17105,5.66,2.09,IL,101,red
17107,2.88,1.69,IL,122,red
17109,2.63,2.18,IL,282,red
17111,18.7,19.34,IL,61,red
17113,10.5,12.69,IL,263,red
17115,20.02,8.04,IL,240,red
17117,2.96,3.66,IL,234,red
17119,52.4,19.14,IL,214,red
17121,0.99,2.98,IL,103,red
17123,1.67,0.71,IL,243,red
17125,0.57,0.62,IL,15,red
17127,4.73,1.1,IL,289,red
46069,0.11,0.05,SD,111,red
46067,0.39,0.24,SD,278,red
46065,2.67,1.6,SD,52,red
46063,0.03,0.07,SD,111,red
46061,0.09,0.18,SD,111,red
46059,0.21,0.13,SD,111,red
46057,0.41,0.22,SD,278,red
46055,0.11,0.08,SD,111,red
46053,0.26,0.14,SD,111,red
46051,0.63,0.24,SD,278,red
46049,0.15,0.1,SD,111,red
46045,0.26,0.16,SD,111,red
46043,0.18,0.16,SD,111,red
46041,0.33,0.2,SD,111,red
46039,0.17,0.18,SD,111,red
46037,0.44,0.19,SD,278,red
46035,1.92,1.15,SD,179,red
46031,0.18,0.21,SD,111,red
46029,3.74,2.24,SD,155,red
46027,1.02,0.61,SD,15,red
46025,0.16,0.17,SD,111,red
46023,0.55,0.38,SD,278,red
46021,0.08,0.05,SD,111,red
46017,0.1,0.06,SD,111,red
46015,0.52,0.15,SD,278,red
46013,3.47,2.08,SD,155,red
46011,2.77,1.66,SD,122,red
46009,0.56,0.17,SD,278,red
46007,0.17,0.1,SD,111,red
46005,2.29,1.37,SD,52,red
46003,0.19,0.11,SD,111,red
46095,0.09,0.09,SD,111,red
46019,0.52,0.44,SD,278,red
46075,0.05,0.03,SD,111,red
46125,0.47,0.3,SD,278,red
46127,1.59,0.41,SD,243,red
8009,0.45,0.24,CO,278,red
8011,0.81,0.29,CO,278,red
8017,0.36,0.23,CO,111,red
8025,1.0,0.29,CO,276,red
8063,1.27,1.07,CO,170,red
8075,3.26,1.61,CO,162,red
8087,5.96,3.62,CO,131,red
8089,3.99,1.44,CO,162,red
8095,0.8,0.64,CO,15,red
8099,1.91,1.37,CO,166,red
8111,0.24,0.08,CO,111,red
8115,0.69,0.41,CO,278,red
8121,0.35,0.26,CO,278,red
8125,1.42,0.89,CO,170,red
20067,1.22,0.8,KS,170,red
20201,0.78,0.37,KS,278,red
20203,0.29,0.18,KS,111,red
20205,1.36,0.42,KS,276,red
20207,0.3,0.17,KS,111,red
20197,0.54,0.27,KS,278,red
20199,0.22,0.17,KS,111,red
30001,1.82,1.04,MT,179,red
30005,0.93,0.53,MT,15,red
30007,1.03,0.59,MT,15,red
30011,0.04,0.02,MT,111,red
30013,12.79,10.48,MT,287,red
30015,0.88,0.51,MT,15,red
30017,1.39,0.79,MT,170,red
30019,0.21,0.12,MT,111,red
30021,1.75,1.0,MT,179,red
30023,2.3,1.31,MT,52,red
30025,0.28,0.16,MT,111,red
30027,1.06,0.61,MT,15,red
30033,0.04,0.02,MT,111,red
30041,2.15,1.22,MT,166,red
50009,0.25,0.23,VT,111,red
36013,12.58,6.75,NY,33,red
36103,246.12,106.67,NY,108,green
25005,26.6,29.2,MA,207,red
36081,0.0,147.37,NY,10,purple
36081,0.0,147.37,NY,10,purple
36047,0.0,171.39,NY,69,purple
36045,9.29,6.59,NY,185,red
33009,7.57,3.67,NH,277,red
54041,1.08,0.79,WV,170,red
